"","country_code","age","gender","rural","dem_education_level","dem_full_time_job","dem_has_children","awareness","vote","effect","age_group","pro_anxiety","pro_equality","pro_indep","pro_solidarity","pro_bureau","pro_volunteer","pro_none","con_expensive","con_stopworking","con_foreigners","con_merit","con_need","con_dependence","con_none","pro_count","con_count"
"6182","HU",53,"male","rural","high","no","yes","I have never heard of it","I would not vote","A basic income would not affect my work choices","40_65",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0
"6183","HU",29,"male","urban","low","yes","yes","I have never heard of it","I would vote for it","‰Û_ work less","26_39",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
"6184","HU",28,"female","urban","high","yes","no","I have heard just a little about it","I would probably vote against it","‰Û_ look for a different job","26_39",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2
"6185","HU",28,"male","rural","medium","yes","no","I know something about it","I would vote for it","A basic income would not affect my work choices","26_39",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2
"6186","HU",55,"male","urban","high","yes","yes","I know something about it","I would vote for it","A basic income would not affect my work choices","40_65",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
"6187","HU",25,"male","rural","medium","yes","no","I know something about it","I would probably vote for it","‰Û_ look for a different job","14_25",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
"6188","HU",34,"female","urban","high","yes","no","I have heard just a little about it","I would probably vote for it","A basic income would not affect my work choices","26_39",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1
"6189","HU",16,"male","urban",NA,"no","no","I have heard just a little about it","I would vote for it","‰Û_ spend more time with my family","14_25",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,2
"6190","HU",54,"male","rural","high","yes","yes","I understand it fully","I would vote for it","‰Û_ spend more time with my family","40_65",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,4
"6191","HU",21,"male","urban","medium","no","no","I have never heard of it","I would vote for it","None of the above","14_25",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,1
"6192","HU",42,"male","rural","low","yes","yes","I know something about it","I would vote for it","A basic income would not affect my work choices","40_65",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1
"6193","HU",20,"female","urban","medium","no","no","I understand it fully","I would probably vote against it","‰Û_ work less","14_25",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1
"6194","HU",34,"female","rural","low","no","yes","I have heard just a little about it","I would vote for it","A basic income would not affect my work choices","26_39",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1
"6195","HU",54,"female","urban","low","yes","no","I have never heard of it","I would vote against it","A basic income would not affect my work choices","40_65",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0
"6196","HU",49,"male","urban","high","yes","yes","I have heard just a little about it","I would probably vote against it","A basic income would not affect my work choices","40_65",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,2
"6197","HU",62,"female","urban","low","no","yes","I know something about it","I would vote for it","A basic income would not affect my work choices","40_65",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,4
"6198","HU",49,"male","urban","medium","yes","yes","I know something about it","I would not vote","‰Û_ gain additional skills","40_65",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0
